Action ID,Step ID,Action Name,System/Manual,Tool Used,Estimated Time (h),Action Cost ($)
ACT-001,ST-001,AI-Based Pattern Detection,Manual,Datadog,0.23,11.67
ACT-002,ST-002,Validate Logs,Manual,JIRA,0.2,10.0
ACT-003,ST-002,AI-Based Pattern Detection,Manual,Slack,0.13,6.67
ACT-004,ST-002,Manual Correction,Manual,BigQuery,0.07,3.33
ACT-005,ST-003,Run SQL Query,System,Datadog,0.25,12.5
ACT-006,ST-003,AI-Based Pattern Detection,System,Slack,0.22,10.83
ACT-007,ST-003,Manual Correction,System,Slack,0.05,2.5
ACT-008,ST-004,Run SQL Query,Manual,Datadog,0.07,3.33
ACT-009,ST-004,Run SQL Query,Manual,Excel,0.18,9.17
ACT-010,ST-004,AI-Based Pattern Detection,System,Redshift,0.2,10.0
ACT-011,ST-005,AI-Based Pattern Detection,System,Looker,0.05,2.5
ACT-012,ST-006,Validate Logs,Manual,Grafana,0.1,5.0
ACT-013,ST-007,Run SQL Query,System,Looker,0.2,10.0
ACT-014,ST-008,Manual Correction,System,Redshift,0.03,1.67
ACT-015,ST-009,AI-Based Pattern Detection,System,Excel,0.08,4.17
ACT-016,ST-009,Manual Correction,System,Excel,0.23,11.67
ACT-017,ST-010,Validate Logs,Manual,BigQuery,0.23,11.67
ACT-018,ST-010,Validate Logs,Manual,Snowflake,0.22,10.83
ACT-019,ST-010,AI-Based Pattern Detection,Manual,Looker,0.03,1.67
ACT-020,ST-011,AI-Based Pattern Detection,System,Snowflake,0.15,7.5
ACT-021,ST-012,Manual Correction,System,Snowflake,0.13,6.67
ACT-022,ST-012,AI-Based Pattern Detection,Manual,BigQuery,0.23,11.67
ACT-023,ST-012,Generate Report,Manual,JIRA,0.22,10.83
ACT-024,ST-013,Generate Report,Manual,Excel,0.05,2.5
ACT-025,ST-013,Manual Correction,System,Slack,0.17,8.33
ACT-026,ST-013,Validate Logs,System,Grafana,0.05,2.5
ACT-027,ST-014,AI-Based Pattern Detection,System,Redshift,0.17,8.33
ACT-028,ST-014,AI-Based Pattern Detection,System,BigQuery,0.15,7.5
ACT-029,ST-014,AI-Based Pattern Detection,Manual,JIRA,0.23,11.67
ACT-030,ST-015,Manual Correction,System,Looker,0.2,10.0
ACT-031,ST-016,Run SQL Query,Manual,BigQuery,0.05,2.5
ACT-032,ST-016,Run SQL Query,System,Grafana,0.23,11.67
ACT-033,ST-016,Validate Logs,System,Excel,0.17,8.33
ACT-034,ST-017,Manual Correction,System,Looker,0.23,11.67
ACT-035,ST-017,Manual Correction,Manual,Excel,0.05,2.5
ACT-036,ST-017,Run SQL Query,Manual,Excel,0.1,5.0
ACT-037,ST-018,AI-Based Pattern Detection,Manual,Slack,0.12,5.83
ACT-038,ST-019,Manual Correction,Manual,Slack,0.23,11.67
ACT-039,ST-019,Validate Logs,System,Slack,0.05,2.5
ACT-040,ST-019,Generate Report,Manual,BigQuery,0.07,3.33
ACT-041,ST-020,Validate Logs,Manual,Grafana,0.07,3.33
ACT-042,ST-020,Manual Correction,System,Slack,0.17,8.33
ACT-043,ST-020,Manual Correction,System,JIRA,0.03,1.67
ACT-044,ST-021,Validate Logs,System,Excel,0.03,1.67
ACT-045,ST-021,Run SQL Query,System,Grafana,0.1,5.0
