Step ID,Session ID,Step Name,Phase,Estimated Time (h),Step Cost ($)
ST-001,S-001,Final Review,Final Sync,0.55,27.5
ST-002,S-001,Anomaly Flagging,Data Extraction,0.57,28.33
ST-003,S-001,Anomaly Flagging,Anomaly Detection,0.45,22.5
ST-004,S-001,Final Review,Data Extraction,0.18,9.17
ST-005,S-002,Data Correction,Data Extraction,0.43,21.67
ST-006,S-002,Anomaly Flagging,Anomaly Detection,0.55,27.5
ST-007,S-002,Data Correction,Final Sync,0.35,17.5
ST-008,S-002,Log Extraction,Final Sync,0.68,34.17
ST-009,S-002,Anomaly Flagging,Error Resolution,0.42,20.83
ST-010,S-002,Data Correction,Data Extraction,0.68,34.17
ST-011,S-002,Anomaly Flagging,Anomaly Detection,0.37,18.33
ST-012,S-003,Anomaly Flagging,Anomaly Detection,0.72,35.83
ST-013,S-003,Data Correction,Schema Validation,0.65,32.5
ST-014,S-003,Anomaly Flagging,Data Extraction,0.55,27.5
ST-015,S-003,Anomaly Flagging,Error Resolution,0.27,13.33
ST-016,S-003,Anomaly Flagging,Data Extraction,0.68,34.17
ST-017,S-004,Data Correction,Anomaly Detection,0.43,21.67
ST-018,S-004,Anomaly Flagging,Error Resolution,0.35,17.5
ST-019,S-004,Log Extraction,Schema Validation,0.57,28.33
ST-020,S-004,Log Extraction,Final Sync,0.38,19.17
ST-021,S-005,Data Correction,Data Extraction,0.6,30.0
ST-022,S-005,Log Extraction,Schema Validation,0.5,25.0
ST-023,S-005,Log Extraction,Data Extraction,0.47,23.33
ST-024,S-005,Final Review,Data Extraction,0.63,31.67
ST-025,S-006,Data Correction,Error Resolution,0.57,28.33
ST-026,S-006,Data Correction,Anomaly Detection,0.18,9.17
ST-027,S-006,Anomaly Flagging,Schema Validation,0.32,15.83
ST-028,S-006,Final Review,Final Sync,0.65,32.5
ST-029,S-007,Field Mapping Check,Anomaly Detection,0.33,16.67
ST-030,S-007,Final Review,Final Sync,0.18,9.17
ST-031,S-007,Log Extraction,Error Resolution,0.35,17.5
ST-032,S-007,Anomaly Flagging,Error Resolution,0.45,22.5
ST-033,S-007,Final Review,Anomaly Detection,0.6,30.0
ST-034,S-007,Data Correction,Final Sync,0.35,17.5
ST-035,S-007,Anomaly Flagging,Error Resolution,0.42,20.83
ST-036,S-008,Log Extraction,Final Sync,0.63,31.67
ST-037,S-008,Field Mapping Check,Data Extraction,0.27,13.33
ST-038,S-008,Final Review,Error Resolution,0.52,25.83
ST-039,S-008,Field Mapping Check,Final Sync,0.7,35.0
ST-040,S-009,Data Correction,Anomaly Detection,0.23,11.67
